sequence,feasible,objective,total_energy,total_dist,failure_reason,arrival_times
0-46-27,False,0,0,58898.123151014785,Time_Window_Violation,
0-46-28,False,0,0,62352.93598898596,Time_Window_Violation,
0-46-29,False,0,0,61182.520563948005,Time_Window_Violation,
0-46-30,False,0,0,66286.66081803122,Time_Window_Violation,
0-46-31,False,0,0,74356.02836062753,Time_Window_Violation,
0-46-32,False,0,0,73754.69611219582,Time_Window_Violation,
0-46-33,False,0,0,77526.76933189368,Time_Window_Violation,
0-46-34,True,162.65823532601945,46922115.85327268,78533.39444173856,None,"{0: 2930.96352518251, 46: 1259.5719159015946, 34: 1858.4253665307538}"
0-46-35,False,0,0,83849.48243532189,Time_Window_Violation,
0-46-36,True,160.18730192085184,47251589.56502352,84124.60494851213,None,"{0: 2851.093897292267, 46: 1259.571914121852, 36: 1771.814323122489}"
0-46-37,False,0,0,89005.46524787307,Time_Window_Violation,
0-46-38,False,0,0,92870.66593067066,Time_Window_Violation,
0-46-39,False,0,0,93598.11447201038,Time_Window_Violation,
0-46-40,False,0,0,46591.95321719681,Time_Window_Violation,
0-46-41,False,0,0,44272.80197424341,Time_Window_Violation,
0-46-42,False,0,0,42904.468197801965,Time_Window_Violation,
0-46-43,False,0,0,41386.846326340135,Time_Window_Violation,
0-46-44,False,0,0,44960.3466352582,Time_Window_Violation,
0-46-45,True,159.01980357177325,47380029.30176176,44951.9400569719,None,"{0: 2547.853310160688, 46: 1259.571914924764, 45: 1484.7606051457021}"
0-46-47,True,137.91222490833343,47599880.21605427,41619.01665929395,None,"{0: 3044.818601002731, 46: 1259.5719154450285, 47: 2608.229478228063}"
0-46-48,True,137.9122241187211,47383627.09131175,46743.494986101396,None,"{0: 2635.3422340164916, 46: 1259.5719139137148, 48: 1563.9478596456436}"
0-46-49,True,151.25833105963505,47580860.586833596,43406.184269736535,None,"{0: 3045.302965845815, 46: 1259.5718986326533, 49: 2637.924620528162}"
0-46-50,True,137.91221971422408,47476035.029776156,47394.76878395676,None,"{0: 2907.3628617082363, 46: 1259.5719054024983, 50: 2016.8008751160396}"
0-47-1,False,0,0,72958.43599037308,Time_Window_Violation,
0-47-2,False,0,0,76722.15003472779,Time_Window_Violation,
0-47-3,False,0,0,67393.81215110637,Time_Window_Violation,
0-47-4,False,0,0,71252.62638575367,Time_Window_Violation,
0-47-5,False,0,0,65471.49117054852,Time_Window_Violation,
0-47-6,False,0,0,72467.84667065865,Time_Window_Violation,
0-47-7,False,0,0,66600.7513271246,Time_Window_Violation,
0-47-8,False,0,0,70094.38034629409,Time_Window_Violation,
0-47-9,False,0,0,74030.1537615942,Time_Window_Violation,
0-47-10,False,0,0,66191.44792777533,Time_Window_Violation,
0-47-11,False,0,0,72040.3196365876,Time_Window_Violation,
0-47-12,False,0,0,106356.00001224392,Time_Window_Violation,
0-47-13,False,0,0,89625.75608756095,Time_Window_Violation,
0-47-14,False,0,0,108021.04929031746,Time_Window_Violation,
0-47-15,False,0,0,100180.99141842427,Time_Window_Violation,
0-47-16,False,0,0,109329.24025474055,Time_Window_Violation,
0-47-17,False,0,0,93090.63402365558,Time_Window_Violation,
0-47-18,False,0,0,96103.11416323498,Time_Window_Violation,
0-47-19,False,0,0,104513.1696593789,Time_Window_Violation,
0-47-20,False,0,0,43027.75637731995,Time_Window_Violation,
0-47-21,False,0,0,45225.79540450552,Time_Window_Violation,
0-47-22,False,0,0,47310.52420654008,Time_Window_Violation,
0-47-23,False,0,0,51127.50761956173,Time_Window_Violation,
0-47-24,False,0,0,48839.14467816184,Time_Window_Violation,
0-47-25,False,0,0,50880.54747441086,Time_Window_Violation,
0-47-26,False,0,0,54454.67280625015,Time_Window_Violation,
0-47-27,False,0,0,53529.77545679387,Time_Window_Violation,
0-47-28,False,0,0,56937.42162440639,Time_Window_Violation,
0-47-29,False,0,0,56055.512754639894,Time_Window_Violation,
0-47-30,False,0,0,61003.964280406144,Time_Window_Violation,
0-47-31,False,0,0,71568.77603981679,Time_Window_Violation,
0-47-32,False,0,0,70266.06110709204,Time_Window_Violation,
0-47-33,False,0,0,74114.89395115734,Time_Window_Violation,
0-47-34,False,0,0,74582.11780591238,Time_Window_Violation,
0-47-35,False,0,0,81106.62190663948,Time_Window_Violation,
0-47-36,False,0,0,80308.91947231985,Time_Window_Violation,
0-47-37,False,0,0,85764.44709275273,Time_Window_Violation,
0-47-38,False,0,0,89672.62528498765,Time_Window_Violation,
0-47-39,False,0,0,89961.82172049649,Time_Window_Violation,
0-47-40,False,0,0,45714.352317273726,Time_Window_Violation,
0-47-41,False,0,0,42540.24996443465,Time_Window_Violation,
0-47-42,False,0,0,41583.6049802672,Time_Window_Violation,
0-47-43,False,0,0,37580.7017345668,Time_Window_Violation,
0-47-44,False,0,0,44953.580412992465,Time_Window_Violation,
0-47-45,False,0,0,45388.436152317845,Time_Window_Violation,
0-47-46,False,0,0,41619.01665929395,Time_Window_Violation,
0-47-48,False,0,0,46736.72876383565,Time_Window_Violation,
0-47-49,False,0,0,39237.129089618495,Time_Window_Violation,
0-47-50,False,0,0,45831.264879302704,Time_Window_Violation,
0-48-1,True,73.51957214091976,47455877.57009961,83634.6658646479,None,"{0: 2940.3278288847014, 48: 1563.9478637074599, 1: 2392.939176699236}"
0-48-2,False,0,0,87401.96333167097,Time_Window_Violation,
0-48-3,False,0,0,78074.73890763424,Time_Window_Violation,
0-48-4,False,0,0,81931.4913182892,Time_Window_Violation,
0-48-5,False,0,0,76152.70717974429,Time_Window_Violation,
0-48-6,False,0,0,83128.21910558753,Time_Window_Violation,
0-48-7,False,0,0,77271.13950140175,Time_Window_Violation,
0-48-8,False,0,0,80728.34326443303,Time_Window_Violation,
0-48-9,False,0,0,84654.6150777996,Time_Window_Violation,
0-48-10,False,0,0,76761.10383540591,Time_Window_Violation,
0-48-11,False,0,0,82593.9157960876,Time_Window_Violation,
0-48-12,False,0,0,116484.43052438239,Time_Window_Violation,
0-48-13,False,0,0,99527.8890321446,Time_Window_Violation,
0-48-14,False,0,0,118007.44966218228,Time_Window_Violation,
0-48-15,False,0,0,110015.27593870976,Time_Window_Violation,
0-48-16,False,0,0,119213.86924723495,Time_Window_Violation,
0-48-17,False,0,0,102723.18147653906,Time_Window_Violation,
0-48-18,False,0,0,105519.30035323006,Time_Window_Violation,
0-48-19,False,0,0,114037.42137127242,Time_Window_Violation,
0-48-20,False,0,0,53423.55882162298,Time_Window_Violation,
0-48-21,True,74.23803045991764,47146091.54746054,55612.56864094129,None,"{0: 2755.72525611781, 48: 1563.9478436800703, 21: 2261.785330304467}"
0-48-22,True,74.23803040643554,46812941.24890492,57489.33263997764,None,"{0: 2619.8759377253323, 48: 1563.9478441005374, 22: 2009.376026534263}"
0-48-23,False,0,0,61323.8075793812,Time_Window_Violation,
0-48-24,False,0,0,58547.555995537885,Time_Window_Violation,
0-48-25,False,0,0,60660.15684097728,Time_Window_Violation,
0-48-26,False,0,0,64314.552504251435,Time_Window_Violation,
0-48-27,False,0,0,63002.07869336185,Time_Window_Violation,
0-48-28,False,0,0,66538.95029401447,Time_Window_Violation,
0-48-29,False,0,0,64864.46680791922,Time_Window_Violation,
0-48-30,False,0,0,70188.14520428289,Time_Window_Violation,
0-48-31,False,0,0,75546.36893414745,Time_Window_Violation,
0-48-32,False,0,0,75537.84446303899,Time_Window_Violation,
0-48-33,False,0,0,79210.59658285952,Time_Window_Violation,
0-48-34,True,47.693817485310774,47587729.74804294,80712.07706078449,None,"{0: 2873.276222654932, 48: 1563.9478515034286, 34: 1973.7839384299523}"
0-48-35,False,0,0,84939.87770058037,Time_Window_Violation,
0-48-36,False,0,0,86138.20707420055,Time_Window_Violation,
0-48-37,False,0,0,90474.34954252644,Time_Window_Violation,
0-48-38,False,0,0,94287.00133019482,Time_Window_Violation,
0-48-39,False,0,0,95399.85666941112,Time_Window_Violation,
0-48-40,False,0,0,50939.33570746951,Time_Window_Violation,
0-48-41,False,0,0,49285.459160931125,Time_Window_Violation,
0-48-42,False,0,0,48022.18030234367,Time_Window_Violation,
0-48-43,False,0,0,46947.82074849353,Time_Window_Violation,
